qualification_id,call_id,lead_id,interest_type,target_state,target_city,budget_min,budget_max,timeline_months,pre_approval_status,desired_property_type,move_in_timeline,property_address,estimated_value,reason_for_selling,listing_timeline,agent_matched,created_at
3e7cf2b8-34f0-4733-a771-b849d067838f,24edafd2-f678-4457-8701-7fbcea7abb24,cd422b32-9a29-494f-929a-45c0cc8a2a83,buyer,ID,West Gabriellestad,600000,900000,6,Approved,Land,ASAP,,,,,True,2026-07-07T19:18:39.520325
70a14c45-7216-4354-a753-b9f008a60ea3,bf11e525-8aab-4e50-845c-ed8d6e61586e,1c97c979-cd63-4ea1-82ff-b1daa93afd2a,seller,HI,Marquezstad,250000,400000,1,,,,"384 Wolfe Parkway Apt. 056, Ramirezborough, PW 18475",306739.0,Downsizing,1-3 months,True,2026-05-16T02:24:00.520325
a3136695-f3aa-491e-8126-2cdfdc37adbe,6817c5c7-f5c7-457a-9fb8-485f9bbbaa62,a69ecdf9-710e-460e-a74f-752049e10795,buyer,AZ,North Laura,250000,400000,3,In Progress,Condo,1-3 months,,,,,True,2026-06-20T06:57:02.520325
2e4796ce-c0a5-49fd-93a7-9eaf455351b0,7aa06e2d-ae5c-41bc-b4f5-c95e082eb065,3d4a87aa-581c-4a25-b16b-f21510853590,buyer,AK,Davisstad,900000,1500000,12,Not Started,Single Family,3-6 months,,,,,True,2026-02-17T01:55:41.520325
ef8e6fb7-e2ef-4b13-a6d1-1834d0d8e63f,1f6c87b8-2bf3-462a-9418-b5e2acd7c8a6,39041032-06ce-4db6-b055-96fd02a985de,seller,AK,Sandrafort,600000,900000,12,,,,"PSC 0272, Box 7857, APO AA 97833",600454.0,Upsizing,Not sure,True,2026-05-26T13:58:12.520325
c1ae552c-731b-4c09-9486-9399c4f3df7b,ffca01fe-869f-4a6a-a26d-db74137003fb,92adac7a-d449-4d1c-ad43-fafe9a92aed9,buyer,AZ,North Samantha,400000,600000,6,Not Started,Townhouse,1-3 months,,,,,True,2026-07-03T14:28:32.520325
49adcb39-a2bb-4e03-8ec5-af333bb5b9e2,c31526bd-128f-43ed-9ab7-84c1e2a31884,e999f9f1-87a3-434a-bb0b-9d2caafef0ea,seller,NJ,West Denisebury,250000,400000,6,,,,"92836 Catherine Underpass Suite 551, South Robertberg, OK 65276",280224.0,Relocation,Not sure,True,2026-06-13T03:22:48.520325
716ee0e8-d604-4505-addd-f7b9dd10220d,7cd68e3e-de88-42fe-8549-ecdcdf2623b9,e7bc2fc4-060c-46bb-a766-347c8a74b795,buyer,GA,Port Karenville,1500000,5000000,6,In Progress,Multi-Family,6-12 months,,,,,True,2026-07-07T23:10:03.520325
dba7492c-bd60-4bdb-afef-2c5c1566bb19,66562134-abea-445f-b6b4-830443cf475f,e96853b4-904b-4540-b309-029f4ca4a335,buyer,AR,South Stevenberg,900000,1500000,12,In Progress,Land,6-12 months,,,,,False,2026-05-30T03:22:25.520325
c1bc02cb-0057-4f10-972e-fd916f27ddb7,02a437a0-f701-48d3-88a8-982f303eda72,523dfb21-7719-454b-9f36-4b8d8d1567b7,buyer,MD,Jamesborough,100000,250000,1,Approved,Land,1-3 months,,,,,False,2026-06-11T18:58:54.520325
414b077a-4e22-4f39-9f0f-4b83e06b80ed,a0f0e95c-3cd6-4106-bfe2-2382409d12f4,aa05c4b5-51e7-44c8-80dd-dfd972684659,seller,WY,South Andre,400000,600000,6,,,,"8173 Ray Fort Suite 579, Lake Lanceberg, AS 83065",574125.0,Investment,Not sure,True,2026-03-17T13:51:52.520325
3fbf4856-e756-4e6d-ad6e-205e4611c4ad,311baf6e-ad56-4ec5-b85e-9370dcf1dbc1,ce585dac-4edc-4b9d-986c-355e703e4e3b,buyer,WI,Port Michael,100000,250000,1,In Progress,Land,3-6 months,,,,,True,2026-05-07T22:13:38.520325
33484343-20f7-4dba-938e-c3b79e877c27,9c5f3376-3958-46ba-994b-3ac6f7d5e1cf,cd422b32-9a29-494f-929a-45c0cc8a2a83,buyer,ID,West Gabriellestad,600000,900000,6,Approved,Land,ASAP,,,,,True,2026-03-06T06:16:11.520325
ec7a54a8-6c65-4c9d-85d8-e6268ce7da7f,2d16d3a2-019f-4d4f-9201-1b3ebe975743,46b311bf-44d6-41b9-91be-27cb4b118c17,buyer,AR,South Feliciaton,1500000,5000000,6,In Progress,Land,1-3 months,,,,,True,2026-04-01T10:29:05.520325
